year_month,destination_region,origin_region,arriving_passengers
2004-01,Central-West,Central-West,44229
2004-01,Central-West,North,38029
2004-01,Central-West,Northeast,82637
2004-01,Central-West,South,16819
2004-01,Central-West,Southeast,166995
2004-01,North,Central-West,40929
2004-01,North,North,104623
2004-01,North,Northeast,14608
2004-01,North,South,551
2004-01,North,Southeast,27855
2004-01,Northeast,Central-West,68185
2004-01,Northeast,North,12532
2004-01,Northeast,Northeast,197311
2004-01,Northeast,South,10553
2004-01,Northeast,Southeast,251122
2004-01,South,Central-West,14384
2004-01,South,North,595
2004-01,South,Northeast,8981
2004-01,South,South,70547
2004-01,South,Southeast,207148
2004-01,Southeast,Central-West,148240
2004-01,Southeast,North,23726
2004-01,Southeast,Northeast,287834
2004-01,Southeast,South,239165
2004-01,Southeast,Southeast,572715
2004-02,Central-West,Central-West,39183
2004-02,Central-West,North,37159
2004-02,Central-West,Northeast,58815
2004-02,Central-West,South,13366
2004-02,Central-West,Southeast,146203
2004-02,North,Central-West,37410
2004-02,North,North,87850
2004-02,North,Northeast,11343
2004-02,North,South,371
2004-02,North,Southeast,22843
2004-02,Northeast,Central-West,55063
2004-02,Northeast,North,9726
2004-02,Northeast,Northeast,168112
2004-02,Northeast,South,8702
2004-02,Northeast,Southeast,201147
2004-02,South,Central-West,14797
2004-02,South,North,521
2004-02,South,Northeast,9335
2004-02,South,South,68049
2004-02,South,Southeast,200590
2004-02,Southeast,Central-West,143381
2004-02,Southeast,North,19937
2004-02,Southeast,Northeast,217405
2004-02,Southeast,South,201880
2004-02,Southeast,Southeast,561239
2004-03,Central-West,Central-West,45975
2004-03,Central-West,North,37268
2004-03,Central-West,Northeast,55502
2004-03,Central-West,South,16747
2004-03,Central-West,Southeast,168343
2004-03,North,Central-West,37653
2004-03,North,North,83929
2004-03,North,Northeast,8764
2004-03,North,South,285
2004-03,North,Southeast,20746
2004-03,Northeast,Central-West,49976
2004-03,Northeast,North,7729
2004-03,Northeast,Northeast,165972
2004-03,Northeast,South,5968
2004-03,Northeast,Southeast,161744
2004-03,South,Central-West,16659
2004-03,South,North,344
2004-03,South,Northeast,6303
2004-03,South,South,93357
2004-03,South,Southeast,224709
2004-03,Southeast,Central-West,164348
2004-03,Southeast,North,19143
2004-03,Southeast,Northeast,179229
2004-03,Southeast,South,230505
2004-03,Southeast,Southeast,682253
2004-04,Central-West,Central-West,52212
2004-04,Central-West,North,36625
2004-04,Central-West,Northeast,52675
2004-04,Central-West,South,16192
2004-04,Central-West,Southeast,168055
2004-04,North,Central-West,35948
2004-04,North,North,82731
2004-04,North,Northeast,8014
2004-04,North,South,278
2004-04,North,Southeast,19505
2004-04,Northeast,Central-West,54431
2004-04,Northeast,North,8446
2004-04,Northeast,Northeast,184361
2004-04,Northeast,South,6512
2004-04,Northeast,Southeast,181126
2004-04,South,Central-West,16733
2004-04,South,North,334
2004-04,South,Northeast,5848
2004-04,South,South,95957
2004-04,South,Southeast,227024
2004-04,Southeast,Central-West,170005
2004-04,Southeast,North,19429
2004-04,Southeast,Northeast,182007
2004-04,Southeast,South,232577
2004-04,Southeast,Southeast,678744
2004-05,Central-West,Central-West,62027
2004-05,Central-West,North,42084
2004-05,Central-West,Northeast,58449
2004-05,Central-West,South,19343
2004-05,Central-West,Southeast,180456
2004-05,North,Central-West,41899
2004-05,North,North,83679
2004-05,North,Northeast,8968
2004-05,North,South,262
2004-05,North,Southeast,20256
2004-05,Northeast,Central-West,59946
2004-05,Northeast,North,9572
2004-05,Northeast,Northeast,188866
2004-05,Northeast,South,7223
2004-05,Northeast,Southeast,188576
2004-05,South,Central-West,18152
2004-05,South,North,421
2004-05,South,Northeast,6929
2004-05,South,South,92936
2004-05,South,Southeast,228630
2004-05,Southeast,Central-West,176122
2004-05,Southeast,North,19771
2004-05,Southeast,Northeast,185784
2004-05,Southeast,South,233193
2004-05,Southeast,Southeast,700731
2004-06,Central-West,Central-West,54980
2004-06,Central-West,North,41460
2004-06,Central-West,Northeast,58668
2004-06,Central-West,South,18323
2004-06,Central-West,Southeast,177432
2004-06,North,Central-West,41107
2004-06,North,North,90525
2004-06,North,Northeast,9540
2004-06,North,South,249
2004-06,North,Southeast,21706
2004-06,Northeast,Central-West,62585
2004-06,Northeast,North,9669
2004-06,Northeast,Northeast,184318
2004-06,Northeast,South,8401
2004-06,Northeast,Southeast,193703
2004-06,South,Central-West,17958
2004-06,South,North,272
2004-06,South,Northeast,8006
2004-06,South,South,83792
2004-06,South,Southeast,214168
2004-06,Southeast,Central-West,171636
2004-06,Southeast,North,20169
2004-06,Southeast,Northeast,180497
2004-06,Southeast,South,214109
2004-06,Southeast,Southeast,689378
2004-07,Central-West,Central-West,64174
2004-07,Central-West,North,53672
2004-07,Central-West,Northeast,76271
2004-07,Central-West,South,20931
2004-07,Central-West,Southeast,204623
2004-07,North,Central-West,51143
2004-07,North,North,110322
2004-07,North,Northeast,11974
2004-07,North,South,339
2004-07,North,Southeast,28194
2004-07,Northeast,Central-West,83116
2004-07,Northeast,North,12526
2004-07,Northeast,Northeast,212857
2004-07,Northeast,South,11483
2004-07,Northeast,Southeast,248988
2004-07,South,Central-West,21271
2004-07,South,North,440
2004-07,South,Northeast,9602
2004-07,South,South,99045
2004-07,South,Southeast,258221
2004-07,Southeast,Central-West,198642
