year_month,destination_region,origin_country,arriving_passengers
2004-01,Central-West,ARGENTINA,314
2004-01,North,ARUBA,93
2004-01,North,BOLÍVIA,135
2004-01,North,COLÔMBIA,211
2004-01,North,ESTADOS UNIDOS DA AMÉRICA,1036
2004-01,North,GUIANA,141
2004-01,North,GUIANA FRANCESA,792
2004-01,North,SURINAME,581
2004-01,North,VENEZUELA,126
2004-01,Northeast,ARGENTINA,2527
2004-01,Northeast,BRASIL,240
2004-01,Northeast,CHILE,447
2004-01,Northeast,ESPANHA,2526
2004-01,Northeast,HOLANDA,422
2004-01,Northeast,PORTUGAL,15440
2004-01,Northeast,SUÍÇA,1076
2004-01,Northeast,UNKNOWN,3195
2004-01,Northeast,URUGUAI,542
2004-01,South,ARGENTINA,10865
2004-01,South,BRASIL,34
2004-01,South,FRANÇA,347
2004-01,South,HOLANDA,42
2004-01,South,PARAGUAI,1585
2004-01,South,UNKNOWN,770
2004-01,South,URUGUAI,1856
2004-01,Southeast,ALEMANHA,22505
2004-01,Southeast,ANGOLA,1010
2004-01,Southeast,ARGENTINA,58918
2004-01,Southeast,ARUBA,554
2004-01,Southeast,BOLÍVIA,6651
2004-01,Southeast,BRASIL,273
2004-01,Southeast,CANADÁ,4912
2004-01,Southeast,CHILE,20265
2004-01,Southeast,COLÔMBIA,3367
2004-01,Southeast,CUBA,1049
2004-01,Southeast,ESPANHA,17806
2004-01,Southeast,ESTADOS UNIDOS DA AMÉRICA,97008
2004-01,Southeast,FRANÇA,23135
2004-01,Southeast,HOLANDA,5834
2004-01,Southeast,ILHAS FEROÉ,1128
2004-01,Southeast,ITÁLIA,13676
2004-01,Southeast,JAPÃO,3143
2004-01,Southeast,MÉXICO,6374
2004-01,Southeast,PANAMÁ,3054
2004-01,Southeast,PARAGUAI,7332
2004-01,Southeast,PERU,5983
2004-01,Southeast,PORTUGAL,17933
2004-01,Southeast,REINO UNIDO,9389
2004-01,Southeast,SUÍÇA,4724
2004-01,Southeast,UNKNOWN,2707
2004-01,Southeast,URUGUAI,11528
2004-01,Southeast,VENEZUELA,2487
2004-01,Southeast,ÁFRICA DO SUL,3186
2004-01,UNKNOWN,ARGENTINA,5019
2004-01,UNKNOWN,BOLÍVIA,1071
2004-01,UNKNOWN,BRASIL,384274
2004-01,UNKNOWN,CHILE,1892
2004-01,UNKNOWN,ESPANHA,2457
2004-01,UNKNOWN,ESTADOS UNIDOS DA AMÉRICA,3176
2004-01,UNKNOWN,FRANÇA,464
2004-01,UNKNOWN,GUIANA,100
2004-01,UNKNOWN,HOLANDA,408
2004-01,UNKNOWN,ILHAS FEROÉ,552
2004-01,UNKNOWN,JAPÃO,3243
2004-01,UNKNOWN,MÉXICO,314
2004-01,UNKNOWN,PARAGUAI,3808
2004-01,UNKNOWN,REINO UNIDO,2356
2004-01,UNKNOWN,SURINAME,122
2004-01,UNKNOWN,SUÍÇA,1769
2004-01,UNKNOWN,UNKNOWN,10966
2004-01,UNKNOWN,URUGUAI,3459
2004-01,UNKNOWN,VENEZUELA,401
2004-02,Central-West,ARGENTINA,403
2004-02,North,ARUBA,163
2004-02,North,BOLÍVIA,168
2004-02,North,COLÔMBIA,142
2004-02,North,ESTADOS UNIDOS DA AMÉRICA,1006
2004-02,North,GUIANA,206
2004-02,North,GUIANA FRANCESA,1057
2004-02,North,SURINAME,594
2004-02,North,VENEZUELA,118
2004-02,Northeast,ARGENTINA,1789
2004-02,Northeast,BRASIL,12
2004-02,Northeast,CHILE,501
2004-02,Northeast,ESPANHA,4028
2004-02,Northeast,ESTADOS UNIDOS DA AMÉRICA,105
2004-02,Northeast,ITÁLIA,356
2004-02,Northeast,PORTUGAL,14381
2004-02,Northeast,SUÍÇA,803
2004-02,Northeast,UNKNOWN,1698
2004-02,Northeast,URUGUAI,827
2004-02,South,ARGENTINA,8729
2004-02,South,BRASIL,29
2004-02,South,FRANÇA,401
2004-02,South,HOLANDA,39
2004-02,South,PARAGUAI,830
2004-02,South,UNKNOWN,359
2004-02,South,URUGUAI,1727
2004-02,Southeast,ALEMANHA,22595
2004-02,Southeast,ANGOLA,1052
2004-02,Southeast,ARGENTINA,49408
2004-02,Southeast,BOLÍVIA,5957
2004-02,Southeast,BRASIL,63
2004-02,Southeast,CANADÁ,4764
2004-02,Southeast,CHILE,16921
2004-02,Southeast,COLÔMBIA,3979
2004-02,Southeast,CUBA,444
2004-02,Southeast,ESPANHA,18423
2004-02,Southeast,ESTADOS UNIDOS DA AMÉRICA,88147
2004-02,Southeast,FRANÇA,23095
2004-02,Southeast,HOLANDA,6202
2004-02,Southeast,ILHAS FEROÉ,1394
2004-02,Southeast,ITÁLIA,13174
2004-02,Southeast,JAPÃO,2448
2004-02,Southeast,MÉXICO,7021
2004-02,Southeast,PANAMÁ,2676
2004-02,Southeast,PARAGUAI,5471
2004-02,Southeast,PERU,5457
2004-02,Southeast,PORTUGAL,16860
2004-02,Southeast,REINO UNIDO,9210
2004-02,Southeast,SUÍÇA,4500
2004-02,Southeast,UNKNOWN,3049
2004-02,Southeast,URUGUAI,8844
2004-02,Southeast,VENEZUELA,3199
2004-02,Southeast,ÁFRICA DO SUL,3519
2004-02,UNKNOWN,ARGENTINA,4138
2004-02,UNKNOWN,BOLÍVIA,675
2004-02,UNKNOWN,BRASIL,349350
2004-02,UNKNOWN,CHILE,1891
2004-02,UNKNOWN,ESPANHA,2400
2004-02,UNKNOWN,ESTADOS UNIDOS DA AMÉRICA,2419
2004-02,UNKNOWN,FRANÇA,533
2004-02,UNKNOWN,GUIANA,91
2004-02,UNKNOWN,HOLANDA,309
2004-02,UNKNOWN,ILHAS FEROÉ,561
2004-02,UNKNOWN,JAPÃO,992
2004-02,UNKNOWN,MÉXICO,291
2004-02,UNKNOWN,PANAMÁ,116
2004-02,UNKNOWN,PARAGUAI,4453
2004-02,UNKNOWN,REINO UNIDO,2312
2004-02,UNKNOWN,SURINAME,64
2004-02,UNKNOWN,SUÍÇA,1975
2004-02,UNKNOWN,UNKNOWN,14627
2004-02,UNKNOWN,URUGUAI,3146
2004-02,UNKNOWN,VENEZUELA,289
2004-03,Central-West,ARGENTINA,505
2004-03,Central-West,UNKNOWN,0
2004-03,North,BOLÍVIA,142
2004-03,North,COLÔMBIA,82
2004-03,North,ESTADOS UNIDOS DA AMÉRICA,438
2004-03,North,GUIANA,110
2004-03,North,GUIANA FRANCESA,1063
2004-03,North,SURINAME,665
2004-03,North,VENEZUELA,87
2004-03,Northeast,ARGENTINA,1409
2004-03,Northeast,CHILE,516
2004-03,Northeast,ESPANHA,3549
2004-03,Northeast,ESTADOS UNIDOS DA AMÉRICA,584
2004-03,Northeast,ITÁLIA,484
